step,train_loss,dev_score,uas,las,mlas,blex,lr,elapsed_sec
100,11.670836,31.84,54.41,31.84,23.08,27.19,0.003000,19.7
200,6.603836,38.43,56.52,38.43,27.71,32.30,0.003000,38.6
300,5.459400,52.17,65.22,52.17,43.71,46.61,0.003000,58.1
400,4.855593,57.11,66.98,57.11,50.32,53.05,0.003000,77.2
500,4.394452,61.22,68.86,61.22,54.55,57.92,0.003000,97.4
600,4.220194,62.28,70.62,62.28,55.03,58.25,0.003000,117.0
700,4.044531,59.93,67.80,59.93,53.01,56.55,0.003000,136.4
800,3.701207,62.87,70.51,62.87,56.64,60.02,0.003000,155.6
900,3.695150,62.28,69.92,62.28,57.23,59.49,0.003000,174.7
1000,3.496940,61.34,69.80,61.34,55.44,58.66,0.003000,193.9
1100,3.359483,62.28,70.62,62.28,56.32,59.05,0.003000,213.0
1200,3.279104,61.46,70.98,61.46,55.01,57.74,0.003000,232.3
1300,3.095451,61.93,70.39,61.93,56.06,59.44,0.003000,251.2
1400,3.181640,61.57,70.51,61.57,54.90,57.95,0.003000,271.0
1500,3.316689,61.81,70.98,61.81,55.19,58.89,0.003000,291.1
1600,3.155224,60.99,70.74,60.99,54.94,57.67,0.003000,310.7
1700,3.191549,61.57,70.51,61.57,55.58,58.80,0.003000,330.3
1800,3.052406,61.34,70.04,61.34,55.97,58.38,0.003000,349.7
1900,3.052096,61.57,70.39,61.57,55.01,58.22,0.003000,369.0
2000,2.893884,61.93,69.80,61.93,56.82,59.39,0.003000,388.2
2100,3.110566,61.57,70.39,61.57,56.82,59.23,0.003000,408.2
2200,2.964499,61.10,69.57,61.10,55.06,57.95,0.003000,427.6
2300,3.049485,62.63,71.80,62.63,56.48,59.05,0.003000,447.3
2400,2.921239,62.04,71.68,62.04,55.38,58.91,0.003000,466.4
2500,2.857204,60.40,69.80,60.40,54.11,56.84,0.003000,485.5
2600,2.834224,60.28,69.68,60.28,54.06,56.48,0.003000,504.9
2700,2.901594,61.10,70.39,61.10,55.07,57.65,0.003000,524.6
2800,2.850039,61.22,70.04,61.22,55.67,58.25,0.003000,543.8
2900,2.876980,61.46,71.45,61.46,55.22,58.27,0.003000,563.2
3000,2.726129,60.16,69.57,60.16,53.90,56.48,0.003000,582.2
3100,2.818827,59.93,69.92,59.93,53.23,56.61,0.003000,601.9
3200,2.701944,60.05,69.21,60.05,54.78,56.87,0.003000,621.1
3300,2.813689,61.34,70.39,61.34,55.81,58.06,0.003000,640.2
3400,2.542187,60.28,70.27,60.28,53.90,56.32,0.003000,659.1
3500,2.671050,60.28,69.57,60.28,54.46,56.71,0.003000,678.1
3600,2.657016,60.63,70.74,60.63,54.69,57.26,0.003000,697.3
3700,2.595792,60.40,69.92,60.40,53.62,56.68,0.003000,716.3
3800,2.627065,59.34,69.10,59.34,53.47,56.22,0.003000,735.6
3900,2.775011,61.22,71.21,61.22,55.07,57.49,0.003000,755.0
4000,2.599929,60.99,69.80,60.99,54.96,57.37,0.003000,774.1
4100,2.467749,61.69,70.86,61.69,55.90,58.15,0.003000,793.5
4200,2.506465,60.28,69.80,60.28,54.43,57.17,0.003000,812.5
4300,2.460350,60.05,70.04,60.05,54.59,57.00,0.003000,831.6
4400,2.319972,60.99,70.86,60.99,55.47,57.56,0.003000,850.8
4500,2.279290,61.93,71.09,61.93,57.10,58.86,0.003000,869.8
4600,2.551987,62.04,71.09,62.04,55.63,58.20,0.003000,889.2
4700,2.407834,61.69,70.86,61.69,55.67,58.25,0.003000,908.2
4800,2.515698,61.22,70.62,61.22,55.07,57.97,0.003000,927.8
4900,2.291967,61.69,71.09,61.69,55.26,58.15,0.003000,947.0
5000,2.168001,61.10,70.98,61.10,54.98,56.91,0.003000,965.9
5100,2.473882,61.34,71.09,61.34,55.56,57.33,0.003000,985.0
5200,2.256497,61.22,70.86,61.22,54.98,57.88,0.003000,1004.0
5300,2.489664,61.22,70.98,61.22,54.46,57.67,0.003000,1024.0
5400,2.282452,60.63,70.51,60.63,54.11,56.84,0.003000,1043.3
5500,2.305570,60.87,70.39,60.87,54.90,57.30,0.003000,1062.8
5600,2.225161,60.87,70.74,60.87,54.55,56.96,0.003000,1082.1
5700,2.296649,60.99,70.98,60.99,54.87,57.44,0.003000,1101.4
5800,2.387653,60.63,70.27,60.63,54.18,57.07,0.003000,1121.0
5900,2.275837,61.93,71.80,61.93,55.63,58.04,0.003000,1140.6
6000,2.343785,61.34,70.86,61.34,55.10,57.03,0.003000,1160.4
6100,2.324725,60.75,70.74,60.75,54.53,57.10,0.003000,1180.7
6200,2.349724,60.16,70.04,60.16,53.65,56.22,0.003000,1201.6
6300,2.266998,60.87,70.74,60.87,54.50,56.75,0.003000,1222.4
6400,2.086619,61.93,71.80,61.93,55.35,57.92,0.003000,1243.0
6500,2.173541,61.22,70.98,61.22,54.69,57.10,0.003000,1264.1
6600,2.083764,60.75,70.74,60.75,54.18,56.59,0.003000,1284.6
6700,2.233886,61.93,71.56,61.93,55.06,57.46,0.003000,1305.4
6800,2.315608,62.40,72.27,62.40,55.99,58.57,0.003000,1326.2
