step,train_loss,dev_score,uas,las,mlas,blex,lr,elapsed_sec
100,13.670243,29.35,55.75,29.35,17.38,19.43,0.003000,21.4
200,8.494388,36.80,58.23,36.80,25.59,28.05,0.003000,42.0
300,7.608260,44.25,61.49,44.25,34.06,36.12,0.003000,61.4
400,7.342753,48.91,63.51,48.91,39.18,41.03,0.003000,81.5
500,6.970167,51.40,67.08,51.40,41.49,44.79,0.003000,101.6
600,6.459050,52.64,67.08,52.64,43.09,45.98,0.003000,121.3
700,6.419016,53.88,69.72,53.88,45.38,48.05,0.003000,143.2
800,5.926963,54.50,70.03,54.50,45.25,48.97,0.003000,163.0
900,5.941470,54.97,70.65,54.97,46.80,49.28,0.003000,182.8
1000,6.053736,52.64,70.03,52.64,43.82,46.73,0.003000,203.7
1100,6.014780,54.19,71.12,54.19,45.71,48.40,0.003000,226.1
1200,5.819123,54.04,70.96,54.04,46.39,48.66,0.003000,247.2
1300,5.768199,55.28,71.58,55.28,46.68,49.59,0.003000,268.8
1400,5.764527,53.26,70.65,53.26,44.77,47.88,0.003000,291.1
1500,5.868181,53.26,70.03,53.26,44.58,47.68,0.003000,313.3
1600,5.185053,54.66,70.81,54.66,45.80,49.33,0.003000,334.7
1700,5.543808,54.81,70.50,54.81,46.52,49.22,0.003000,356.7
1800,5.549638,55.28,70.50,55.28,47.41,50.10,0.003000,378.4
1900,5.455133,54.97,70.03,54.97,47.10,50.41,0.003000,400.4
2000,5.319380,54.97,70.96,54.97,46.52,50.05,0.003000,422.0
2100,5.356889,54.04,69.41,54.04,45.74,49.27,0.003000,443.4
2200,5.477681,53.42,71.12,53.42,44.49,47.82,0.003000,465.1
2300,5.580059,52.95,70.19,52.95,44.56,47.46,0.003000,487.1
2400,5.330228,53.57,70.50,53.57,45.34,48.65,0.003000,509.1
2500,5.605827,52.80,69.57,52.80,44.72,47.20,0.003000,531.5
2600,5.327232,52.17,68.94,52.17,43.98,46.68,0.003000,552.1
2700,5.494065,52.02,69.25,52.02,43.32,46.84,0.003000,573.4
2800,4.949571,53.26,70.34,53.26,45.50,48.40,0.003000,594.0
2900,5.295833,51.71,69.10,51.71,43.20,45.90,0.003000,613.7
3000,5.293755,52.02,68.94,52.02,43.41,46.73,0.003000,633.6
3100,5.577781,52.02,68.01,52.02,43.98,46.68,0.003000,653.9
3200,5.275216,52.02,69.88,52.02,44.07,46.57,0.003000,673.9
3300,5.175851,52.33,69.57,52.33,43.78,46.89,0.003000,693.8
3400,5.167387,51.71,68.17,51.71,43.52,46.42,0.003000,713.9
3500,5.328058,52.48,69.57,52.48,44.40,46.89,0.003000,734.8
3600,5.088329,52.64,69.72,52.64,44.81,47.10,0.003000,754.8
3700,5.084025,51.86,69.25,51.86,43.94,46.63,0.003000,774.7
3800,5.004395,52.17,68.94,52.17,44.24,47.14,0.003000,794.5
3900,4.790641,52.02,69.41,52.02,42.92,46.46,0.003000,813.8
4000,5.026424,52.64,70.81,52.64,44.40,47.72,0.003000,833.3
4100,5.087288,52.64,69.72,52.64,44.21,47.34,0.003000,853.3
4200,5.094253,51.71,69.57,51.71,43.20,46.73,0.003000,873.4
4300,5.148912,52.17,70.34,52.17,44.24,47.35,0.003000,893.5
4400,5.166142,52.95,70.65,52.95,44.61,47.72,0.003000,913.9
4500,5.062632,51.55,68.94,51.55,43.52,46.22,0.003000,935.5
4600,4.773467,51.40,69.57,51.40,43.04,46.78,0.003000,956.2
4700,5.154452,51.24,69.41,51.24,42.29,45.42,0.003000,978.8
4800,4.490955,50.78,68.32,50.78,42.41,45.32,0.003000,999.9
4900,4.881596,51.55,69.57,51.55,42.62,45.95,0.003000,1021.2
5000,4.697871,50.31,69.72,50.31,41.95,44.86,0.003000,1043.0
5100,4.896032,51.40,69.57,51.40,42.50,45.83,0.003000,1065.0
5200,4.964536,51.24,69.41,51.24,43.11,46.01,0.003000,1085.5
5300,5.065851,50.93,68.94,50.93,42.58,45.48,0.003000,1105.5
5400,4.671141,50.16,69.10,50.16,41.45,44.35,0.003000,1125.3
5500,4.592335,50.47,69.25,50.47,41.70,44.81,0.003000,1144.9
5600,4.485015,52.02,69.41,52.02,43.61,46.94,0.003000,1164.6
5700,4.822060,50.78,69.88,50.78,41.62,44.75,0.003000,1184.6
5800,5.173239,51.24,69.41,51.24,42.25,45.37,0.003000,1205.3
5900,5.064793,50.62,69.25,50.62,41.83,44.75,0.003000,1225.7
6000,4.819269,50.93,69.72,50.93,42.37,45.48,0.003000,1245.9
6100,4.726373,51.71,69.57,51.71,43.33,46.25,0.003000,1265.6
6200,4.455755,51.09,69.10,51.09,42.41,45.53,0.003000,1285.2
6300,4.534411,51.24,69.72,51.24,42.66,45.58,0.003000,1304.8
6400,4.721113,50.16,69.41,50.16,41.79,44.49,0.003000,1326.3
6500,4.587490,51.09,69.88,51.09,42.50,45.62,0.003000,1347.8
6600,4.816391,50.78,69.57,50.78,42.13,45.26,0.003000,1369.8
6700,4.458902,51.40,70.03,51.40,42.66,45.99,0.003000,1390.7
6800,4.526213,51.55,69.57,51.55,42.99,45.90,0.003000,1412.4
6900,4.875235,51.24,69.57,51.24,42.74,45.85,0.003000,1434.6
7000,4.722942,51.24,70.03,51.24,42.34,45.46,0.003000,1456.6
7100,4.342203,51.24,69.88,51.24,42.08,45.42,0.003000,1476.7
7200,4.825280,52.02,69.72,52.02,43.01,46.76,0.003000,1496.8
7300,4.866792,51.24,69.57,51.24,42.71,45.83,0.003000,1516.8
