step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,6.111098,52.06,78.85,87.78,60.16,52.06,0.003000,92.9
200,2.805078,63.22,84.49,89.42,68.98,63.22,0.003000,185.9
300,2.205379,65.57,85.08,91.89,70.27,65.57,0.003000,278.5
400,1.870761,63.69,84.49,89.07,70.39,63.69,0.003000,371.1
500,1.655480,63.57,84.61,88.72,70.39,63.57,0.003000,462.9
600,1.467476,64.28,84.72,88.84,71.45,64.28,0.003000,556.8
700,1.339605,65.33,85.08,88.72,72.39,65.33,0.003000,650.9
800,1.224550,64.16,84.96,89.19,71.45,64.16,0.003000,748.4
900,1.147103,64.28,85.43,88.60,71.21,64.28,0.003000,845.7
1000,1.064733,65.10,84.96,89.66,71.68,65.10,0.003000,939.2
1100,0.998514,62.28,85.08,87.54,69.57,62.28,0.003000,1033.1
1200,0.940120,63.81,84.96,87.78,70.74,63.81,0.003000,1129.2
1300,0.889907,63.57,84.84,86.60,71.45,63.57,0.003000,1224.6
1400,0.849573,61.57,84.84,85.78,70.15,61.57,0.003000,1318.3
1500,0.806000,62.87,84.61,86.60,70.62,62.87,0.003000,1411.2
