step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,5.236281,42.55,73.45,72.36,52.33,42.55,0.003000,111.8
200,2.680112,48.29,76.86,76.55,57.76,48.29,0.003000,223.1
300,2.139751,50.62,78.26,76.86,62.42,50.62,0.003000,334.1
400,1.809449,51.40,79.81,78.88,61.34,51.40,0.003000,444.4
500,1.587367,54.50,78.88,77.48,66.46,54.50,0.003000,555.1
600,1.379722,55.43,78.73,78.73,66.46,55.43,0.003000,667.3
700,1.284596,54.81,79.50,78.11,66.46,54.81,0.003000,800.1
800,1.175677,55.75,78.42,79.04,66.46,55.75,0.003000,924.7
900,1.125557,54.66,79.19,79.66,63.82,54.66,0.003000,1047.3
1000,1.044523,56.21,78.57,79.04,65.84,56.21,0.003000,1184.6
1100,0.987861,55.90,77.80,78.42,67.08,55.90,0.003000,1310.8
1200,0.946499,56.99,79.19,79.81,66.61,56.99,0.003000,1431.8
1300,0.885939,54.50,78.42,79.50,65.99,54.50,0.003000,1554.0
1400,0.833996,54.04,78.11,78.42,66.46,54.04,0.003000,1676.1
1500,0.829326,55.12,78.73,77.95,66.93,55.12,0.003000,1796.5
1600,0.764908,56.68,79.50,80.59,66.77,56.68,0.003000,1940.5
1700,0.747684,54.97,79.35,79.35,66.30,54.97,0.003000,2095.3
1800,0.717730,55.75,78.73,80.12,66.30,55.75,0.003000,2222.8
1900,0.662960,54.81,78.42,78.88,65.37,54.81,0.003000,2370.7
2000,0.672239,54.04,77.80,77.80,64.44,54.04,0.003000,2499.6
2100,0.637448,54.97,79.35,79.66,65.53,54.97,0.003000,2646.9
2200,0.615772,55.28,79.50,79.19,65.53,55.28,0.003000,2777.1
2300,0.609033,53.88,78.11,78.88,64.75,53.88,0.003000,2907.9
2400,0.586657,54.35,78.11,78.26,65.53,54.35,0.003000,3036.0
2500,0.570423,56.68,79.66,79.19,67.39,56.68,0.003000,3162.3
2600,0.538635,56.68,79.19,79.04,67.08,56.68,0.003000,3286.5
2700,0.541057,55.12,78.57,79.04,66.46,55.12,0.003000,3405.1
2800,0.494751,55.43,79.19,78.73,65.99,55.43,0.003000,3522.7
2900,0.501852,55.59,79.50,79.50,66.15,55.59,0.003000,3641.4
3000,0.496941,55.43,79.97,79.66,65.68,55.43,0.003000,3769.6
3100,0.478927,55.43,78.88,78.42,65.99,55.43,0.003000,3892.2
3200,0.446995,55.59,79.04,78.57,65.84,55.59,0.003000,4014.8
3300,0.438042,55.28,80.12,80.59,65.84,55.28,0.003000,4138.9
3400,0.441791,55.12,78.73,79.04,65.22,55.12,0.003000,4267.0
3500,0.437564,54.50,78.26,77.80,65.68,54.50,0.003000,4389.0
3600,0.410888,55.12,79.66,79.81,65.37,55.12,0.003000,4510.2
3700,0.402514,54.97,78.42,78.42,65.68,54.97,0.003000,4631.4
3800,0.402770,55.28,78.73,79.04,66.61,55.28,0.003000,4753.1
3900,0.382122,55.12,79.66,79.35,65.68,55.12,0.003000,4875.1
4000,0.383881,54.81,79.04,78.57,66.30,54.81,0.003000,4996.2
4100,0.368651,55.12,79.19,78.26,65.22,55.12,0.003000,5118.0
4200,0.375158,54.81,79.19,78.57,65.22,54.81,0.003000,5239.3
4300,0.375292,53.88,79.50,79.19,64.13,53.88,0.003000,5360.3
4400,0.324004,54.19,79.19,77.80,64.29,54.19,0.003000,5481.4
4500,0.316915,55.75,79.66,79.04,65.84,55.75,0.003000,5602.9
4600,0.298217,55.75,79.50,78.57,65.68,55.75,0.003000,5724.1
4700,0.299667,55.28,78.73,78.42,65.53,55.28,0.003000,5845.4
4800,0.275191,53.88,78.73,77.95,65.22,53.88,0.003000,5966.9
4900,0.268938,54.50,78.42,77.33,65.68,54.50,0.003000,6087.9
5000,0.260708,54.19,78.88,78.11,65.53,54.19,0.003000,6209.7
5100,0.253043,54.97,78.88,78.73,65.99,54.97,0.003000,6327.0
5200,0.254481,55.12,79.35,78.88,65.37,55.12,0.003000,6444.7
5300,0.257491,54.97,78.88,77.95,64.60,54.97,0.003000,6560.7
5400,0.240839,54.81,79.50,78.11,65.53,54.81,0.003000,6675.8
5500,0.229417,55.28,78.88,77.64,65.84,55.28,0.003000,6790.6
5600,0.222418,54.66,79.19,77.80,65.68,54.66,0.003000,6906.1
5700,0.222608,54.97,78.88,77.95,65.37,54.97,0.003000,7021.0
5800,0.240912,56.21,79.04,78.42,66.93,56.21,0.003000,7136.4
5900,0.235522,55.75,79.50,78.57,66.15,55.75,0.003000,7252.3
6000,0.230350,56.21,79.35,78.42,66.15,56.21,0.003000,7367.9
6100,0.220562,55.43,78.88,77.95,65.84,55.43,0.003000,7483.4
6200,0.211589,55.12,79.04,77.95,65.53,55.12,0.003000,7598.8
6300,0.198184,54.19,78.26,77.48,65.22,54.19,0.003000,7716.9
6400,0.209554,55.12,79.66,78.26,65.53,55.12,0.003000,7830.9
6500,0.198826,55.28,79.04,77.95,65.84,55.28,0.003000,7942.3
6600,0.213906,55.28,78.88,78.42,65.06,55.28,0.003000,8054.3
6700,0.199223,54.81,78.26,77.33,65.68,54.81,0.003000,8166.0
6800,0.200036,54.81,79.04,77.95,65.22,54.81,0.003000,8278.7
6900,0.197284,54.66,78.57,78.26,64.75,54.66,0.003000,8391.5
7000,0.201846,54.04,79.50,78.73,63.98,54.04,0.003000,8502.9
7100,0.189132,55.12,79.04,78.42,64.75,55.12,0.003000,8614.2
7200,0.191885,55.28,79.35,78.42,65.22,55.28,0.003000,8726.4
