step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,5.222058,42.39,73.45,72.67,51.55,42.39,0.003000,101.4
200,2.540347,50.78,81.37,80.43,58.54,50.78,0.003000,204.0
300,1.857557,53.42,83.54,83.23,61.80,53.42,0.003000,306.8
400,1.564717,55.43,84.32,82.61,63.82,55.43,0.003000,409.0
500,1.348335,56.37,85.56,83.54,64.75,56.37,0.003000,516.2
600,1.163830,54.19,84.01,82.92,63.04,54.19,0.003000,619.8
700,1.085816,56.06,82.61,81.99,63.98,56.06,0.003000,724.0
800,0.982002,57.61,83.39,83.07,65.84,57.61,0.003000,822.7
900,0.909357,55.59,82.76,81.99,64.29,55.59,0.003000,920.0
1000,0.866815,55.90,84.16,82.76,64.91,55.90,0.003000,1021.4
1100,0.820752,53.42,82.92,81.99,62.73,53.42,0.003000,1127.7
1200,0.759638,56.06,84.01,83.07,65.06,56.06,0.003000,1232.8
1300,0.734850,54.66,83.39,82.14,63.82,54.66,0.003000,1339.5
1400,0.693226,56.06,83.39,82.14,65.22,56.06,0.003000,1444.3
1500,0.671726,55.12,81.99,80.90,64.29,55.12,0.003000,1550.6
1600,0.613453,55.75,84.16,84.01,63.51,55.75,0.003000,1654.9
1700,0.601017,55.59,83.85,82.61,64.13,55.59,0.003000,1761.0
1800,0.579545,54.66,82.30,81.68,63.04,54.66,0.003000,1867.1
1900,0.548288,57.14,84.16,82.76,65.53,57.14,0.003000,1972.8
2000,0.539975,55.75,83.85,83.23,63.82,55.75,0.003000,2077.9
2100,0.530220,56.06,83.39,82.45,64.29,56.06,0.003000,2185.0
2200,0.507402,55.43,83.23,82.76,64.13,55.43,0.003000,2291.1
2300,0.508653,55.12,84.01,82.30,63.20,55.12,0.003000,2396.6
2400,0.466485,55.12,82.61,81.52,64.13,55.12,0.003000,2500.5
2500,0.477540,56.37,83.85,83.23,63.66,56.37,0.003000,2605.7
2600,0.438525,55.28,82.14,81.21,64.44,55.28,0.003000,2710.2
2700,0.445600,55.90,83.85,83.85,63.66,55.90,0.003000,2816.2
2800,0.411991,54.81,83.85,83.23,63.04,54.81,0.003000,2918.9
2900,0.414044,56.37,83.70,81.99,65.53,56.37,0.003000,3022.8
3000,0.409271,55.90,84.01,82.61,64.29,55.90,0.003000,3127.5
3100,0.409831,56.37,84.16,83.23,64.13,56.37,0.003000,3233.9
3200,0.394374,57.14,84.78,83.54,63.98,57.14,0.003000,3339.3
3300,0.395796,55.59,83.07,81.68,63.82,55.59,0.003000,3444.1
3400,0.370181,55.75,82.76,81.99,64.13,55.75,0.003000,3548.9
3500,0.381204,53.88,82.76,81.52,62.58,53.88,0.003000,3655.4
3600,0.368475,55.59,82.76,82.30,64.13,55.59,0.003000,3760.3
3700,0.356081,55.28,82.45,81.52,64.29,55.28,0.003000,3863.6
3800,0.351603,55.12,82.92,82.45,63.66,55.12,0.003000,3968.7
3900,0.340276,55.59,83.70,82.14,64.75,55.59,0.003000,4073.4
4000,0.304424,54.97,82.30,81.37,63.98,54.97,0.003000,4177.7
4100,0.295702,54.66,81.99,81.37,64.44,54.66,0.003000,4285.4
4200,0.307157,55.28,82.45,81.21,64.75,55.28,0.003000,4392.4
4300,0.281522,55.43,82.14,81.37,64.29,55.43,0.003000,4498.0
4400,0.272275,54.81,82.61,81.06,63.82,54.81,0.003000,4603.3
4500,0.266359,55.28,83.07,81.37,64.75,55.28,0.003000,4708.6
4600,0.239802,55.75,83.39,81.99,64.60,55.75,0.003000,4813.7
4700,0.265023,54.66,82.92,81.37,63.66,54.66,0.003000,4920.4
4800,0.230354,55.43,83.23,81.99,64.44,55.43,0.003000,5022.7
4900,0.242119,55.59,82.76,81.68,65.06,55.59,0.003000,5128.2
5000,0.230077,55.12,82.76,81.06,64.75,55.12,0.003000,5232.7
5100,0.233278,54.81,82.92,81.52,64.13,54.81,0.003000,5337.2
5200,0.236230,54.81,83.39,82.30,63.82,54.81,0.003000,5442.4
5300,0.236589,56.06,83.23,82.30,64.91,56.06,0.003000,5548.5
5400,0.220770,55.90,82.45,81.83,64.91,55.90,0.003000,5652.5
5500,0.207451,56.21,82.76,81.99,65.22,56.21,0.003000,5755.6
5600,0.210108,55.28,82.30,82.14,65.06,55.28,0.003000,5858.2
5700,0.216679,56.06,82.45,82.14,65.53,56.06,0.003000,5963.0
5800,0.204912,56.21,83.07,82.30,65.53,56.21,0.003000,6069.4
5900,0.212502,55.43,82.76,82.45,64.44,55.43,0.003000,6174.7
6000,0.204614,55.12,83.07,82.45,64.60,55.12,0.003000,6279.3
6100,0.200057,55.12,83.23,82.14,64.60,55.12,0.003000,6383.3
6200,0.197061,56.06,83.39,82.14,65.53,56.06,0.003000,6485.5
6300,0.185501,55.90,82.92,82.14,64.75,55.90,0.003000,6588.2
6400,0.189103,56.37,83.23,81.99,65.53,56.37,0.003000,6691.6
6500,0.192722,56.37,82.61,81.37,65.99,56.37,0.003000,6794.6
6600,0.195186,56.21,83.07,81.68,65.37,56.21,0.003000,6898.7
6700,0.184404,56.06,82.76,81.52,64.91,56.06,0.003000,7000.9
6800,0.181402,55.75,82.76,81.37,65.22,55.75,0.003000,7104.0
