step,train_loss,dev_score,upos,xpos,ufeats,alltags,lr,elapsed_sec
100,3.670896,79.56,86.95,100.00,82.76,79.56,0.003000,65.9
200,0.982535,80.05,89.16,100.00,82.76,80.05,0.003000,132.6
300,0.625395,79.56,87.68,100.00,81.77,79.56,0.003000,199.2
400,0.466527,79.06,86.95,100.00,81.77,79.06,0.003000,265.3
500,0.372598,78.82,87.19,100.00,81.53,78.82,0.003000,331.4
600,0.309395,81.03,88.92,100.00,83.00,81.03,0.003000,397.9
700,0.265845,80.54,88.18,100.00,83.25,80.54,0.003000,464.4
800,0.231701,81.03,87.93,100.00,83.50,81.03,0.003000,530.9
900,0.213752,81.03,88.18,100.00,83.00,81.03,0.003000,597.6
1000,0.190864,79.80,87.68,100.00,82.02,79.80,0.003000,663.9
1100,0.178468,80.30,87.44,100.00,83.00,80.30,0.003000,730.4
1200,0.165984,79.80,86.95,100.00,82.51,79.80,0.003000,797.0
1300,0.154700,77.83,86.70,100.00,80.79,77.83,0.003000,864.2
1400,0.148950,81.03,88.18,100.00,83.50,81.03,0.003000,930.4
1500,0.138807,80.30,88.18,100.00,82.76,80.30,0.003000,997.1
1600,0.132904,80.30,88.42,100.00,82.51,80.30,0.003000,1064.6
1700,0.129852,80.54,87.68,100.00,82.76,80.54,0.003000,1130.8
1800,0.120268,78.57,86.45,100.00,81.03,78.57,0.003000,1197.0
1900,0.118026,79.31,87.44,100.00,81.77,79.31,0.003000,1263.4
2000,0.116247,77.59,84.98,100.00,80.54,77.59,0.003000,1330.2
2100,0.110872,78.08,85.71,100.00,81.53,78.08,0.003000,1396.5
2200,0.110687,77.83,85.47,100.00,81.03,77.83,0.003000,1463.2
2300,0.105744,79.31,87.19,100.00,82.27,79.31,0.003000,1528.9
2400,0.103737,79.06,87.19,100.00,82.02,79.06,0.003000,1595.5
2500,0.102548,78.08,86.45,100.00,81.28,78.08,0.003000,1662.0
2600,0.101406,78.33,86.95,100.00,82.27,78.33,0.003000,1728.9
2700,0.096059,78.57,86.70,100.00,81.77,78.57,0.003000,1796.0
2800,0.097132,79.06,86.70,100.00,82.27,79.06,0.003000,1863.4
2900,0.095732,76.60,85.47,100.00,80.05,76.60,0.003000,1930.1
3000,0.095411,76.85,84.98,100.00,81.53,76.85,0.003000,1997.2
3100,0.089951,77.59,86.21,100.00,81.28,77.59,0.003000,2064.1
3200,0.091631,79.06,86.95,100.00,82.02,79.06,0.003000,2130.3
3300,0.091522,76.60,84.98,100.00,80.79,76.60,0.003000,2197.5
3400,0.087222,76.85,84.98,100.00,80.05,76.85,0.003000,2264.4
3500,0.085294,77.34,85.22,100.00,80.05,77.34,0.003000,2331.0
3600,0.084380,77.34,84.98,100.00,80.54,77.34,0.003000,2397.9
3700,0.089286,76.60,84.98,100.00,80.30,76.60,0.003000,2464.3
3800,0.078608,76.60,84.98,100.00,80.05,76.60,0.003000,2530.3
3900,0.072274,76.85,85.22,100.00,80.54,76.85,0.003000,2596.1
4000,0.066989,77.59,84.98,100.00,81.77,77.59,0.003000,2662.7
4100,0.061958,78.33,86.45,100.00,81.77,78.33,0.003000,2728.6
4200,0.059021,78.57,86.70,100.00,81.77,78.57,0.003000,2794.7
4300,0.057297,75.86,84.98,100.00,80.30,75.86,0.003000,2861.4
4400,0.052610,78.08,86.70,100.00,81.77,78.08,0.003000,2927.8
4500,0.054332,77.83,86.21,100.00,81.53,77.83,0.003000,2993.6
4600,0.050582,77.83,85.22,100.00,81.28,77.83,0.003000,3059.5
4700,0.048900,76.35,84.73,100.00,79.80,76.35,0.003000,3126.2
4800,0.050205,77.59,85.96,100.00,81.03,77.59,0.003000,3192.7
4900,0.046132,76.35,84.73,100.00,80.30,76.35,0.003000,3258.8
5000,0.047456,76.85,85.22,100.00,79.80,76.85,0.003000,3325.8
5100,0.046667,76.85,84.98,100.00,80.05,76.85,0.003000,3392.5
5200,0.042712,76.60,84.98,100.00,79.80,76.60,0.003000,3459.2
5300,0.042193,76.11,84.73,100.00,79.56,76.11,0.003000,3526.1
5400,0.042160,78.08,85.71,100.00,80.79,78.08,0.003000,3592.9
5500,0.041777,77.09,85.71,100.00,80.05,77.09,0.003000,3660.2
5600,0.040072,78.08,85.47,100.00,81.03,78.08,0.003000,3727.2
5700,0.039943,77.34,85.47,100.00,80.79,77.34,0.003000,3794.1
5800,0.039626,76.85,84.24,100.00,80.05,76.85,0.003000,3861.7
5900,0.038975,77.59,85.22,100.00,80.79,77.59,0.003000,3927.9
6000,0.037212,76.35,84.73,100.00,80.30,76.35,0.003000,3994.1
6100,0.035827,77.34,85.96,100.00,80.30,77.34,0.003000,4060.9
6200,0.038978,78.08,85.71,100.00,81.03,78.08,0.003000,4127.3
6300,0.035572,77.34,85.96,100.00,80.54,77.34,0.003000,4193.2
6400,0.036307,78.08,86.45,100.00,81.03,78.08,0.003000,4260.1
6500,0.034691,76.35,85.22,100.00,79.31,76.35,0.003000,4326.3
6600,0.035161,75.86,84.73,100.00,79.80,75.86,0.003000,4391.8
